"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000097",0.00996165705417017,0.00198826415429732,-0.999999944156387
"HMDB0000098",-0.99999999330272,-0.9999983786135,1.79844945581873e-08
"HMDB0000099",-0.999999977622045,-0.999999975935997,1.1306655225511e-08
"HMDB0000101",-0.999180534573639,0.000149511078794335,8.13838031323787e-08
"HMDB0000107",1.16115923076803e-09,-0.999999999145342,3.6839391689506e-09
"HMDB0000108",2.31655047516083e-06,1.8292792426873e-06,7.23169141373441e-07
"HMDB0000112",1.00454277807744e-07,9.20787416648234e-08,8.32976479515317e-08
"HMDB0000115",-0.999999577269034,-0.999999938821552,-0.999999808144769
"HMDB0000118",5.31500666960673e-08,-0.999999464478325,-0.999999994233588
"HMDB0000119",2.85098460474792e-06,1.35198558493485e-06,-0.999999916629051
"HMDB0000121",-0.999999216263765,3.9760395420156e-06,-0.999999950327722
"HMDB0000122",0.0155247142708153,-0.968690983770094,-0.954265501751006
"HMDB0000123",0.320341966592758,0.425820470037252,0.587229529974501
"HMDB0000125",-0.999987528677088,2.48661373320947e-06,-0.999998548866743
"HMDB0000126",0.030012469044453,-0.986637369330333,-0.801724319056106
"HMDB0000127",0.000313698455254228,0.000483286022719922,7.67004198935259e-06
"HMDB0000128",-0.999999961061789,-0.999999975715894,1.44943292715999e-09
"HMDB0000130",-0.999999998181173,-0.999999999037233,3.52426855822669e-09
"HMDB0000131",-0.946770955807973,-1.98817505256226,-1.99998620879173
"HMDB0000132",-0.99999998804796,-0.999999975690711,-0.999999977390606
"HMDB0000133",-0.999984283011387,-0.999961721861384,-0.999999998134399
"HMDB0000134",0.008336631438984,0.0104214383457883,-0.999999970211944
"HMDB0000138",3.40809281120507e-07,-0.999999659736184,6.82863263545948e-07
"HMDB0000139",0.00184201721595348,0.00183724972365072,0.00811589376323476
"HMDB0000142",3.6613995927198e-06,-0.999996004891083,-0.999997635207553
"HMDB0000143",0.000106777988750093,6.95865119094368e-05,-0.999998827556194
"HMDB0000145",1.66037710771748e-05,9.57032660650517e-06,-0.999996458715247
"HMDB0000148",0.00546352679506558,-0.991004512371105,0.0264691315285506
"HMDB0000149",0.000192988116998487,-0.999997352293889,-0.999868705638668
"HMDB0000151",-0.999988201595582,-0.999992937771073,-0.999998673097011
"HMDB0000152",-0.999999999979947,3.69767735868306e-09,-0.999999992786935
"HMDB0000153",-0.999995423457663,-0.999997627323402,4.88144339819307e-06
"HMDB0000156",0.000764752642875628,-0.988341270891418,0.0709464935525671
"HMDB0000157",-0.999999965822252,-0.999999967303253,4.93051733185284e-09
"HMDB0000158",-0.992107438389508,-0.994162514888984,-0.981645643029555
"HMDB0000159",-0.995792509330437,-1.99911063199665,-1.91951191667934
"HMDB0000161",0.00275542101250545,0.0381134514085394,0.0814608624462553
"HMDB0000162",-0.934006222134146,-0.917454742112719,-0.989453664426573
"HMDB0000163",-0.999999998611482,7.63927360037205e-09,-0.999999995847476
"HMDB0000164",-0.999999981600358,-0.999999987686133,2.5952461701968e-09
"HMDB0000167",-0.97807862390954,-0.957725339231628,-0.892940127721841
"HMDB0000168",-0.99951516718104,-0.998609406205249,-0.99023370464925
"HMDB0000169",-0.999928515949859,-0.999987856347973,-0.999998568087848
"HMDB0000172",-0.996938190661108,-0.997328661941448,-0.99090091736933
"HMDB0000174",-0.99999791104883,2.70796361539456e-06,-0.999998955746979
"HMDB0000175",-0.998090531642681,0.00273089156849385,5.36889234035664e-06
"HMDB0000177",0.00248363511622744,-0.998367222327093,-0.970117423148913
"HMDB0000181",-0.999669680182156,0.00272317635763735,6.81240403216476e-09
"HMDB0000182",-0.985427202705961,-0.966882485570984,0.00225681147127576
"HMDB0000186",-0.997592119726348,-0.998186740305637,0.0335388174616951
"HMDB0000187",-0.997387892164124,-0.996393432499475,-0.983903947739931
"HMDB0000189",-0.999958717292342,-0.999971199354585,1.17000762489165e-07
"HMDB0000190",-1.93811510443092,-0.994749132444298,0.0213825853640211
"HMDB0000191",-0.998866754738468,-0.999882062817239,0.033964785408772
"HMDB0000192",-0.995021798842279,-0.991372811082654,-0.98147978510606
"HMDB0000193",0.0238267744723172,0.0128859533336083,-0.872099729176493
"HMDB0000195",0.00178086552442906,-0.997198788377641,-0.99999982829872
"HMDB0000197",-1.9331378948876,-0.986122736652343,-0.960099143753461
"HMDB0000201",0.000761572177539589,-0.999987871466058,8.57376299545972e-09
"HMDB0000202",7.07456320339869e-05,4.65425360586177e-05,-0.999999309524762
"HMDB0000205",0.00125782946864663,0.000803222775046528,-0.999639789508414
"HMDB0000207",0.0946930242853524,0.0833164172439439,0.0180855993748245
"HMDB0000209",-0.999983058428692,-0.999990652620119,-0.999997710950356
"HMDB0000210",0.000114768455299688,0.000188820702937818,0.00387458529687739
"HMDB0000211",-0.999353748234619,1.01692902763622e-05,3.85959081089709e-08
"HMDB0000212",-0.999986978683085,2.35484116088113e-05,7.67831891245498e-07
"HMDB0000214",-0.995850419242269,-0.998766041020573,-0.836377617872107
"HMDB0000215",-0.999999998855368,3.42066677046529e-10,-0.999999998515784
"HMDB0000216",1.16891334248192e-07,1.84285692347641e-07,5.1047654327263e-09
"HMDB0000217",1.19696616771842e-09,-0.99999999929909,2.35680669230016e-09
"HMDB0000220",0.0751824831894932,0.0651069308683705,0.0140937839170146
"HMDB0000222",0.000552158143382795,-0.99927784498132,-0.999999995341416
"HMDB0000223",0.0275542709518585,-0.98823431367289,-0.821277087130182
"HMDB0000226",0.000106828652268239,-0.999974855713366,-0.999999967029568
"HMDB0000230",-0.99999874976,8.69124579208379e-07,-0.999998435210369
"HMDB0000234",-1.99999750963915,-1.99999721722122,-1.99999916720417
"HMDB0000235",2.60106170063866e-06,8.89709988011105e-07,-0.999976532606247
"HMDB0000237",0.0149315885546633,0.00318616638347609,-0.999999487105657
"HMDB0000239",-0.993669698047528,-0.999999932374979,-0.999999975362856
"HMDB0000240",0.02071489777859,-0.989652684818995,-0.86968439201815
"HMDB0000241",3.7667828030394e-06,1.89006487354279e-08,1.76371349994928e-09
"HMDB0000243",0.00969019122746777,0.0164407257539695,0.00390155870732051
"HMDB0000244",0.000296792779267185,0.000739498906919368,4.17780095673219e-08
"HMDB0000246",-0.999999255473679,-0.999993962696664,-0.999986774141801
"HMDB0000247",-0.981387318120988,0.0287852841202077,0.0212652921478816
"HMDB0000248",-0.999999988100197,-0.999999993233854,-0.999999987134611
"HMDB0000250",0.00763378750073872,-0.981227142356409,0.0560923719525643
"HMDB0000251",4.58513014432362e-05,7.65664209800675e-05,0.00177502964137803
"HMDB0000252",0.00376995084204855,-0.997096471700242,0.000566702294665132
"HMDB0000253",7.43484645642915e-08,6.22517609922028e-08,1.29003349226189e-08
"HMDB0000254",-0.999999996694416,-0.999999997349244,2.16727071575747e-08
"HMDB0000256",-0.999999923981571,-0.99999993564802,-0.999999913769937
"HMDB0000257",1.70120518671936e-06,-0.999999700613386,-0.999999977178756
"HMDB0000258",2.81763435369187e-09,-0.999999999493006,1.69009067859197e-09
"HMDB0000259",-0.999999958474908,-0.999999971886124,8.74451022627929e-09
"HMDB0000262",1.17834968833103e-09,4.37161918574854e-10,-0.999999998919895
"HMDB0000263",0.0267910434648672,-0.976593218606713,-0.893231145186213
"HMDB0000265",-0.999999946365706,-0.999999990405127,-0.999999989079028
"HMDB0000267",1.25446858115236e-05,3.13167469104626e-05,-0.999999990527905
"HMDB0000269",-0.997011769876872,0.00478186869189206,-0.999935704359211
"HMDB0000271",-0.999999997460146,-0.999999987814912,5.23861678532953e-10
"HMDB0000272",0.00398670451527824,-0.994281060126831,-0.998204796296207
"HMDB0000273",2.1544986334871e-05,-0.999999756370046,-0.999999983230238
"HMDB0000277",0.00590047944555078,0.00483825889861565,-0.916649108371563
"HMDB0000279",1.06669930983744e-07,7.5325872072513e-08,-0.999999983525232
