"","B cells","Dendritic cells","Erythrocytes","Monocytes","NK cells","T cells"
"HMDB0000273",7.55862357133584e-06,8.98526787847331e-06,3.270936101031e-05,3.6484727972397e-05,1.7608774989109e-05,2.78611293122306e-05
"HMDB0000277",-0.998728744094798,-0.99865907257025,0.00750664556655304,-0.999327323820803,-0.998388786699841,0.00248149876865543
"HMDB0000279",1.91793603935255e-08,5.53179505040360e-09,2.49958025552311e-09,7.61157208470779e-09,3.1720977936813e-09,1.90237808880478e-09
"HMDB0000283",-0.999589193142286,2.88020827112399e-06,-0.999432921822172,0.00112908855240754,-0.999965402849402,-0.999999997593158
"HMDB0000285",9.12536089251484e-05,0.00132151379438315,-0.999440324358116,-0.999997411149938,0.000134733439528303,-0.998279882821786
"HMDB0000288",-0.999544332325583,-0.999363152552879,0.00100388222709184,-0.999790329431839,1.84514397224662e-05,0.000933417547446342
"HMDB0000289",0.00114938351148495,0.00020041492105352,-0.994255558179272,-0.998453293063415,0.00188025076016265,0.00192679105181648
"HMDB0000291",2.0880429435802e-09,1.61264674055816e-08,2.99030683598776e-08,1.28500926538336e-07,-0.999999989012387,-0.999999999725078
"HMDB0000292",2.47706140020766e-06,-0.99999115763048,-0.999989865374612,-0.999986857311706,-0.999988454119419,-0.999998370005314
"HMDB0000293",-0.999996075116666,-0.99999654514645,-0.999998219878484,-0.999996361188935,-0.999997055599114,2.70184464315006e-07
"HMDB0000294",-0.999190692872503,0.000646303127670686,0.00696653223516218,0.00169288161853456,-0.9981208127625,-0.9980721920665
"HMDB0000295",1.82417541432827e-05,-0.999974440860187,-0.99982861144533,2.46293352831748e-05,1.61633802816998e-05,1.4905560942366e-05
"HMDB0000296",0.000409741266336352,0.000422816709251202,0.000885456068052349,-0.999598632341808,-0.998895675780853,-0.998237143251431
"HMDB0000299",-0.999990081420549,8.43210734884634e-06,-0.999999091963736,-0.999990494765119,1.53939204811065e-06,-0.999999317913721
"HMDB0000300",1.58481611309606e-08,8.19253795712952e-09,4.05097467281622e-09,8.05646909270962e-09,7.20073754884292e-09,3.28017180067957e-09
"HMDB0000301",-0.999999998531994,1.1466050037857e-08,1.5794702668779e-08,-0.999999990899474,-0.999999999678273,3.68327563876847e-09
"HMDB0000302",-0.999996775350585,-0.999998683170892,-0.999999506955421,-0.999997215802524,-0.999998384247163,-0.999983863600413
