"","Endothelial cells","Fibroblasts","Granulocytes","Macrophages","T cells"
"HMDB0000034",0.0438816952259744,0.0122218125723542,-0.873089196982394,0.00480825197059997,-0.995820998890333
"HMDB0000036",-0.99999990983304,-0.999998513298453,2.20508056507299e-07,4.08960020856887e-07,-0.99999956625668
"HMDB0000037",5.05993265261716e-09,-0.999999972977574,1.48598773876789e-09,-0.999999994437801,-0.999999994912218
"HMDB0000038",-0.999999533472963,6.83293073551037e-06,3.01757108101381e-09,-0.999999985345549,-0.999999964525283
"HMDB0000039",1.71783797145102e-08,-0.999999850980983,-0.999999967127431,-0.999999986294365,4.15683926568125e-09
"HMDB0000042",0.00193022975058726,0.016766362403616,0.0331419962799212,0.0194624905596493,0.0170362304202731
"HMDB0000043",3.41178393476038e-11,2.15280110227938e-09,-0.999999999788757,8.00893334564838e-10,-0.999999990581128
"HMDB0000044",0.00841718464709498,0.00976989150274858,-0.978725820794235,-0.994178568486451,-0.961067463247053
"HMDB0000045",-0.957888803570187,-0.988778064950472,0.11335716851176,-0.994227728202611,-0.991747662431458
"HMDB0000050",-0.997211591454905,-1.99366297421551,0.015190264953362,-0.996093442006687,0.0163186771673474
"HMDB0000051",0.523100011087525,1,0.451612836801381,0.65111006737212,0.330823625830473
"HMDB0000052",1.95040733835954e-05,0.0025749121932392,1.10008368101809e-08,5.9481165690317e-06,7.1768851766082e-06
"HMDB0000053",-0.999999386125771,1.28011182772098e-05,-0.99999999952559,2.99992915878876e-08,1.3044247752422e-08
"HMDB0000054",5.89486191792712e-08,-0.999998244559446,4.42128600351589e-07,-0.999999370888613,1.11065710015224e-06
"HMDB0000056",-0.999999227232305,-0.99999966697459,-0.999999764894778,-0.999999026657528,-0.999999997126836
"HMDB0000058",1.11962914394285e-08,-0.999999493889915,4.00632258104113e-06,1.94515562370482e-08,1.092933685902e-09
"HMDB0000060",-0.999996107373924,-0.999996929555424,0.000193538134093269,-0.999994819918735,-0.999992213943553
"HMDB0000062",-0.999660409388056,-0.996854077038691,-0.999822380047915,-0.999845117859064,-0.998992664470331
"HMDB0000063",-0.999999992558515,-0.992564215066193,0.0398000295450612,-0.999999997541409,4.85554801602793e-10
"HMDB0000064",1.54047273095098e-09,-0.999999918579762,6.09324731978092e-10,-0.999999994803887,-0.999999998718653
"HMDB0000067",0.000232687897963439,0.0254002374749791,0.0205929108928306,0.0365567110176661,0.0100535057808653
"HMDB0000068",3.5996526995513e-09,1.58750270380397e-07,5.26498101766926e-09,9.38455518189568e-09,2.60527922050183e-08
"HMDB0000071",6.92567708094534e-09,-0.999995435766896,-0.999996206172698,5.52669971553368e-07,-0.999999999142056
"HMDB0000072",1.02958952081741e-08,1.6560795788434e-07,4.08917661985878e-09,-0.999999992115371,1.44266786804437e-08
"HMDB0000073",-0.999999976485211,2.85421602719703e-07,-0.999999987892104,4.68034690205426e-08,-0.999999998114328
"HMDB0000076",-0.999960954172126,5.08574745178639e-06,4.30681808414589e-08,9.75677347712235e-10,-0.999999458873952
"HMDB0000077",-1.99988578800854,0.000425339200181164,-0.999625963305444,-1.99956699949266,-0.999612010842996
"HMDB0000078",2.58686234499958e-06,-0.999998719214673,2.09596355370558e-06,1.51841302326966e-07,2.62359095707677e-06
"HMDB0000079",1.58970942322495e-09,-0.99999999786232,-0.999999999985599,-0.99999999833331,-0.999999999094249
"HMDB0000082",-0.999895510267114,4.9077085802098e-05,8.88083001647759e-05,4.5735216849328e-05,-0.999999803375911
"HMDB0000085",-0.999998959116534,-0.99999136843866,-0.999999999536937,-0.999999970015127,-0.99999999508782
"HMDB0000089",6.65445759952696e-06,-0.999807564921426,0.000123606363566929,0.000204719538297733,0.000195833503210881
"HMDB0000092",-0.999999999545389,-0.999999984118278,-0.999999996735994,-0.99999999077427,1.35217818500349e-08
"HMDB0000094",-0.9938679859122,-0.966500692118418,-0.695195713842008,-0.939359114585716,-0.993277364390552
"HMDB0000095",6.71791626187245e-05,-0.999999131773745,-0.99987648262439,2.45603332615947e-05,-0.999809397613255
"HMDB0000097",0.00807779628576774,0.00594379169616371,-0.99999999169847,0.0205450990661235,0.000869207019867657
"HMDB0000098",-0.999999998711692,-0.999999929056991,3.07034511580528e-09,-0.999999997737132,-0.999999691735986
"HMDB0000099",1.40463279022571e-09,-0.999999941893929,2.2848808988697e-09,-0.999999992134825,-0.999999994229799
"HMDB0000101",4.6426016263316e-07,-0.999917349371047,3.82473489045703e-06,6.49994724121842e-08,1.20514979659311e-08
"HMDB0000107",4.80181411206241e-11,-0.99999999630269,-0.999999999366121,-0.999999999064581,2.70523768286935e-09
"HMDB0000108",2.32461999458139e-06,-0.999999128718593,4.47146114405932e-06,-0.999998712991178,1.3604300563565e-06
"HMDB0000112",-0.999999994448269,5.47173711719197e-08,2.25138644892267e-09,-0.999999991391715,1.18379564721703e-08
"HMDB0000115",-0.999999356867389,7.8374375809054e-06,-0.999999635146817,1.88358364312103e-06,1.57855447401477e-06
"HMDB0000118",-0.999999997614373,5.38441786863187e-08,3.8910518036836e-10,1.20194756043119e-07,-0.999999999341406
"HMDB0000119",-0.99999995819412,1.06610630842764e-07,2.8746713357768e-09,7.30056586470115e-09,1.42748047194753e-08
