"","Macrophages","T cells"
"HMDB0000803",-0.999999075896421,4.06574630974716e-09
"HMDB0000806",0.0093488103920556,0.000965529452801425
"HMDB0000807",-0.998453858065266,0.0170804561576401
"HMDB0000811",1.38798825067579e-08,3.40368284253228e-09
"HMDB0000819",1.57984032016683e-07,-0.999999998983213
"HMDB0000821",5.62917675189707e-08,1.27439826790763e-08
"HMDB0000826",2.70949348881795e-05,-0.999989484346721
"HMDB0000827",0.0104277925051615,-0.99640549617521
"HMDB0000847",1.67612906380901e-06,-0.999987893744133
"HMDB0000848",8.27350011028904e-05,-0.999999896632488
"HMDB0000865",-1.99999996529687,-0.999999990605375
"HMDB0000866",0.00080356667841925,0.000178230165499649
"HMDB0000870",1.12923020958102e-07,-0.999999999334707
"HMDB0000876",0.0151416144063478,0.00066591712854058
"HMDB0000881",4.44553606181297e-09,1.61507570223906e-08
"HMDB0000883",-0.994460691293623,0.0033542607341505
"HMDB0000892",-0.999999802272854,-0.999999950053937
"HMDB0000893",-0.999992919814118,3.52572110231743e-08
"HMDB0000895",9.91096570560093e-08,1.82610306282994e-08
"HMDB0000896",8.1478337570732e-08,-0.99999921872575
"HMDB0000898",5.38326324362049e-09,7.46113555807084e-09
"HMDB0000899",1.99126079540887e-07,1.0032290575775e-07
"HMDB0000900",-0.999999998557398,2.29282846249305e-09
"HMDB0000902",-0.997289422438741,0.0292634299477254
"HMDB0000904",0.000312105147829523,0.000332530620373909
"HMDB0000908",7.17829985538979e-09,1.99140125150678e-09
"HMDB0000910",2.67651046297491e-05,-0.999989352963534
"HMDB0000916",-0.999998955493037,-0.999992862762932
"HMDB0000929",-0.998756739515474,0.000924975370727235
"HMDB0000932",3.02845288027576e-08,7.54096646774974e-09
"HMDB0000933",-0.999970541178308,6.79009261169601e-08
"HMDB0000936",1.03537990551441e-06,7.26618180824741e-08
"HMDB0000939",-0.997365310481318,0.0280747335194729
"HMDB0000943",5.42242550146482e-06,1.69981277027641e-07
"HMDB0000944",3.27626390401973e-05,-0.999989316682903
"HMDB0000946",-0.999999901627761,1.03083453124851e-08
"HMDB0000947",-0.999999801659158,-0.999999950081997
"HMDB0000949",1.49747059205954e-09,-0.99999998862819
"HMDB0000951",1.49747059205954e-09,-0.99999998862819
"HMDB0000962",1.61263393032933e-07,-0.999999983115347
"HMDB0000972",4.84795962731367e-07,3.41653248632157e-08
"HMDB0000975",-0.999999983921549,-0.999999941386243
"HMDB0000990",0.0296382461839876,0.0543087595937597
"HMDB0001008",-0.999998544370881,9.42620025751267e-06
"HMDB0001039",1.74666169077641e-07,1.79243582488924e-07
"HMDB0001043",0.00152828461468814,-0.996284461795468
"HMDB0001044",-0.998820779515385,0.00743719625887012
"HMDB0001050",3.64358610852043e-09,2.33432862656705e-09
"HMDB0001051",0.0185179878680439,-0.966276146226583
"HMDB0001056",4.84795962731102e-07,3.41653248632453e-08
"HMDB0001072",0.0150459041471835,-0.825491906610281
"HMDB0001080",4.55415365717524e-07,1.6271943451613e-08
"HMDB0001085",6.89497020834288e-08,-0.999999944214448
"HMDB0001123",1.45089155085724e-08,1.93634499078426e-08
"HMDB0001129",-0.999999993579792,-0.999999994069696
"HMDB0001138",1.2222807166687e-08,8.16781372555543e-09
"HMDB0001139",1.29139672974113e-07,1.08650300805497e-08
"HMDB0001149",6.07320781245775e-05,-0.999999975552622
"HMDB0001160",2.57482571749496e-05,-0.999989320727668
"HMDB0001167",-0.999700337694788,0.00557968293027921
"HMDB0001175",-0.999999626425717,-0.999999969819251
"HMDB0001178",4.06164711360708e-08,6.69815962870921e-09
"HMDB0001185",0.00260617279607501,-0.969427397033127
"HMDB0001198",1.62992872341381e-08,-0.999999998883303
"HMDB0001201",-0.999993877940456,3.71986345758311e-06
"HMDB0001218",2.22966005951782e-09,-0.999999994869341
"HMDB0001220",2.45057397958907e-06,4.20494423523921e-06
"HMDB0001227",1.06318108883355e-05,6.15692991595946e-09
"HMDB0001232",3.81981922922297e-06,4.54585802384602e-06
"HMDB0001248",-0.999569118721076,7.60078386339607e-07
"HMDB0001251",1.82079918780632e-07,-0.999999980609962
"HMDB0001256",1.98146462513944e-05,-0.999989420807556
"HMDB0001257",1.75649824448101e-08,-0.999999970544389
"HMDB0001259",2.22999406951639e-08,-0.999995221462406
"HMDB0001261",-0.999998955493037,-0.999992862762932
"HMDB0001262",1.37030527644391e-11,8.35054415350491e-11
"HMDB0001264",0.00121826381693672,-0.985841339267923
"HMDB0001273",-0.999992131851943,-0.999993602474144
"HMDB0001274",-0.999999999999994,0
"HMDB0001296",3.20421524911778e-09,-0.999999992782863
"HMDB0001304",-0.984408380242465,0.168393287233955
"HMDB0001310",-0.99082208690011,-0.919800627052947
"HMDB0001311",-1.95493562352764,-0.95007601798871
