"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000742",0.017466522531105,-0.979593288207299,-0.870753968555129
"HMDB0000745",-0.999998953168365,-0.999998868058563,3.54964041977626e-09
"HMDB0000752",6.09556349425642e-05,7.43443079926009e-06,2.32234398502035e-07
"HMDB0000754",-0.99999199003577,-0.999998284590442,1.41710523458354e-07
"HMDB0000755",0.000656627774232814,0.00319777737579514,0.00614631611544394
"HMDB0000756",4.66488401502172e-05,0.000159352769815039,-0.99906608708211
"HMDB0000757",-0.999876011677487,-0.999989339903823,6.79390393145479e-06
"HMDB0000759",-0.99999999860557,-0.999999998551571,3.10608453242397e-09
"HMDB0000760",-0.999999977929756,-0.999999993716732,4.89351796676877e-09
"HMDB0000761",-0.999999961255764,-0.999999991147017,3.96964589427731e-09
"HMDB0000766",-0.999999990353646,-0.999999999341121,-0.999999991516084
"HMDB0000772",2.46186922961559e-05,2.17699553374863e-05,-0.999997722417616
"HMDB0000774",3.82345454698079e-08,3.14991401603539e-08,-0.999999995782828
"HMDB0000779",0.00300301764083895,-0.993497869569602,-0.996042486193498
"HMDB0000784",1.49923941483577e-07,7.59835092210378e-06,-0.999992684324555
"HMDB0000795",2.59171988885757e-07,2.2852631126035e-07,3.51297439956506e-08
"HMDB0000801",-1.99999976743506,-1.99999988660085,1.83257262056469e-08
"HMDB0000803",1.09646504553566e-09,-0.9999999997871,1.5992143655536e-10
"HMDB0000806",0.00899839781139284,0.00763488920824475,0.00255991562769896
"HMDB0000807",0.00912068775829848,-0.981852184750166,-0.971000718352905
"HMDB0000811",1.76135808489741e-08,7.17908811846442e-09,5.23533796856603e-10
"HMDB0000819",3.11582080923452e-07,1.59449029665138e-07,-0.999999981675104
"HMDB0000821",5.88889350357016e-08,5.30818659101674e-09,1.25087480176686e-09
"HMDB0000826",2.3604884955926e-05,2.23707927918395e-05,-0.999997555388478
"HMDB0000827",0.00963701631486823,0.006737035700953,-0.99986777960385
"HMDB0000847",-0.999999739953497,-0.999992310013775,7.29878157285841e-06
"HMDB0000848",-0.999608064027862,0.00140258083965078,-0.999999954980708
"HMDB0000865",-1.99999995513321,-1.99999998243892,1.96032161987935e-08
"HMDB0000866",0.0021521747552105,0.00234461632432486,1.97744783775433e-06
"HMDB0000870",6.95480012991372e-08,4.51449816093276e-08,1.15529471245961e-08
"HMDB0000876",0.0447907197426271,0.0500700255575641,0.00514898868222955
"HMDB0000881",1.65392392933348e-08,2.55349460244606e-08,-0.999999944677104
"HMDB0000883",-0.997468147797509,-0.99890204966476,0.00981465356100801
"HMDB0000892",3.16645063341773e-08,-0.999999994659799,-0.999999999060007
"HMDB0000893",-0.999984715076522,-0.999984965410329,3.10015709155618e-08
"HMDB0000895",1.09088152917674e-07,8.70154018865937e-08,2.74547700732315e-08
"HMDB0000896",3.27901398529401e-07,-0.9999987839525,2.58624031700065e-07
"HMDB0000898",1.52001684787013e-08,4.43443240498979e-09,-0.999999991357703
"HMDB0000899",1.477582644517e-07,1.47357354854134e-07,-0.999999994462196
"HMDB0000900",-0.99999999618055,-0.999999997522297,1.61481918552492e-08
"HMDB0000902",0.00332430347277215,-0.982703163278416,0.044996783969906
"HMDB0000904",-0.999543305421298,7.50656444630126e-05,-0.999846590804804
"HMDB0000908",9.26031865287241e-09,3.30758338842837e-09,-0.999999999634467
"HMDB0000910",2.34198790589175e-05,2.24149435453745e-05,-0.999997749627041
"HMDB0000916",1.44206529472153e-06,7.44462436161975e-07,2.3684919629188e-08
"HMDB0000929",-0.999477638568507,8.34788152795473e-05,0.00301786908433848
"HMDB0000932",3.12099621673546e-08,1.32679328400514e-08,-0.999999998123991
"HMDB0000933",-0.999979796826846,-0.999983428780439,2.74748069616356e-08
"HMDB0000936",-0.999995132193615,2.41742895633074e-06,4.81268221272324e-09
"HMDB0000939",-0.985639527312901,0.0434063222832521,-0.967899179871746
"HMDB0000943",7.69575102514604e-06,3.24734838488906e-06,1.5967760606678e-06
"HMDB0000944",2.53865650349337e-05,1.91916009481734e-05,-0.999997708629047
"HMDB0000946",-0.999999916422143,-0.999999971383016,3.10129901801273e-09
"HMDB0000947",2.05484619397595e-08,-0.999999993516386,-0.999999999068497
"HMDB0000949",-0.999999988056152,-0.999999993797019,-0.999999992986813
"HMDB0000951",-0.999999988056152,-0.999999993797019,-0.999999992986813
"HMDB0000962",-0.999999945877989,7.2917839912262e-09,-0.999999985017904
"HMDB0000972",-0.999991895783309,-0.999996295951972,-0.999973376832044
"HMDB0000975",-0.999999992536699,-0.999999997862286,7.90275301267908e-09
"HMDB0000990",0.0271111822970489,0.0710922172300301,0.110057242739288
"HMDB0001008",-0.999999555853245,-0.999994475557912,-0.999998003431446
"HMDB0001039",1.56779521930114e-07,4.99818246508453e-08,1.42824213947169e-07
"HMDB0001043",0.00165862046770035,-0.999557033866924,-0.991077141491673
"HMDB0001044",-0.99671754998403,0.00703631295756628,2.0936384558694e-08
"HMDB0001050",5.5797172856161e-09,8.33624008383121e-10,4.20199634377105e-09
"HMDB0001051",0.0289807594185641,0.0514774508748405,5.32664748544124e-05
"HMDB0001056",-0.999991895783309,-0.999996295951972,-0.999973376832044
"HMDB0001072",0.00626706608738474,-0.984441756747018,-0.995603761694417
"HMDB0001080",9.61780529940136e-07,1.00850969772365e-06,1.56219161720592e-08
"HMDB0001085",-0.999999974127339,-0.999999897199825,-0.999999998867309
"HMDB0001123",2.04475299627986e-08,1.11565131234253e-08,2.95759291190524e-08
"HMDB0001129",-0.999999927175041,-0.999999971880838,6.18810975350967e-10
"HMDB0001138",-0.999999999793674,3.51286037888773e-09,1.67615342750373e-08
"HMDB0001139",1.48394711835052e-07,4.62071949871423e-08,1.86123264812808e-08
"HMDB0001149",7.67245234064377e-05,0.000145223516122371,1.06569834434154e-06
"HMDB0001160",2.35341074338684e-05,2.2869049973886e-05,-0.999997583578912
"HMDB0001167",-0.999978481082177,-0.999867324630561,0.00216061889935941
"HMDB0001175",-0.999760614395832,-0.999146966129932,2.04047879205423e-08
"HMDB0001178",-0.999999982873306,-0.999999994514654,-0.999999978324123
"HMDB0001185",0.0136535820245787,-0.954512667850034,0.048830260871713
"HMDB0001198",1.08157825046746e-07,-0.999999946518446,3.55219124560631e-08
